,10_AE1712_C14_N14_19_200m_c_1,10_AE1712_C14_N14_19_200m_v_1,11_AE1712_C16_N1_7_80m_c_1,11_AE1712_C16_N1_7_80m_v_1,12_AE1712_C16_N8_14_200m_c_1,12_AE1712_C16_N8_14_200m_v_1,1_AE1712_C3_N1_7_80m_c_1,1_AE1712_C3_N1_7_80m_v_1,2_AE1712_C3_N8_14_200m_c_1,3_AE1712_C6_N1_7_80m_c_1,3_AE1712_C6_N1_7_80m_v_1,4_AE1712_C6_N8_17_200m_c_1,4_AE1712_C6_N8_17_200m_v_1,5_AE1712_C8_N7_12_80m_c_1,5_AE1712_C8_N7_12_80m_v_1,6_AE1712_C8_N19_24_200m_c_1,6_AE1712_C8_N19_24_200m_v_1,7_AE1712_C11_N1_7_80m_c_1,7_AE1712_C11_N1_7_80m_v_1,8_AE1712_C11_N8_14_200m_c_1,8_AE1712_C11_N8_14_200m_v_1,9_AE1712_C14_N3_8_80m_c_1,9_AE1712_C14_N3_8_80m_v_1
12_AE1712_C16_N8_14_200m_c_NODE_1689_length_11012_cov_11.297851,10.3427,0,0,0,11.3003,0,0,0,5.1641,0,0,5.0701,0,0,0,5.6882,0,0,0,6.4963,0,0,0
12_AE1712_C16_N8_14_200m_c_NODE_1692_length_11009_cov_8.087907,16.4004,0,0,0,12.9956,0,0,0,9.2419,10.2938,0,6.7017,0,0,0,17.2655,0,0,0,16.0627,0,3.8643,0
12_AE1712_C16_N8_14_200m_c_NODE_1883_length_10366_cov_7.723880,4.9021,0,0,0,7.4567,0,0,0,3.4238,0,0,2.0675,0,0,0,5.6255,0,0,0,4.8961,0,0,0
12_AE1712_C16_N8_14_200m_c_NODE_1901_length_10301_cov_7.388498,4.2685,9.652,0,0,11.4444,8.941,0,0,6.4146,0,0,7.0477,2.1135,0,0,5.458,7.015,0,0,9.0648,4.6475,0,0
1_AE1712_C3_N1_7_80m_c_NODE_1_length_68096_cov_84.296961,0,0,5.3621,4.9021,0,0,119.0604,26.1196,0,338.7773,18.3856,0,0,21.8565,7.6563,0,0,13.4798,10.5005,0,0,239.292,13.029
1_AE1712_C3_N1_7_80m_c_NODE_174_length_10227_cov_16.703645,0,0,0,27.1586,0,0,25.947,85.6785,0,43.6417,32.3881,0,0,6.7877,66.6817,0,0,0,10.196,0,0,10.9815,22.5879
2_AE1712_C3_N8_14_200m_c_NODE_92_length_45344_cov_30.493185,52.3452,0,0,0,93.6408,0,2.2517,0,46.5007,6.1072,0,34.3657,0,0,0,66.9416,0,0,0,46.6218,0,5.7991,0
2_AE1712_C3_N8_14_200m_c_NODE_758_length_16221_cov_7.566836,6.1713,4.2061,0,0,12.1054,0,0,0,8.7331,2.372,0,5.9635,0,0,0,9.8315,1.7781,0,0,11.1922,0,0,0
2_AE1712_C3_N8_14_200m_c_NODE_880_length_14887_cov_28.199932,39.5395,347.6403,0,0,49.5968,138.3767,0,0,41.3699,0,0,31.4243,104.1666,0,0,50.1043,284.3011,0,0,60.4365,123.6663,0,0
2_AE1712_C3_N8_14_200m_c_NODE_1071_length_13409_cov_8.661191,7.1625,0,0,0,12.4774,0,0,0,12.6892,0,0,9.1226,0,0,0,9.3722,0,0,0,14.3211,0,0,0
2_AE1712_C3_N8_14_200m_c_NODE_1213_length_12428_cov_32.254230,32.1024,352.2932,0,0,42.1693,143.5599,0,2.3702,37.0154,0,0,30.9271,105.6443,0,0,42.2847,260.346,0,0,51.2386,113.1776,0,0
2_AE1712_C3_N8_14_200m_c_NODE_1454_length_11155_cov_7.723957,4.288,16.2266,0,0,8.0606,5.4573,0,0,7.0445,0,0,6.0298,3.7667,0,0,9.2897,5.3895,0,0,7.8846,3.6771,0,0
2_AE1712_C3_N8_14_200m_c_NODE_1548_length_10773_cov_7.837416,3.3712,0,0,0,12.1473,0,0,0,12.2063,0,0,6.412,0,0,0,6.6834,0,0,0,9.1887,0,0,0
2_AE1712_C3_N8_14_200m_c_NODE_1570_length_10710_cov_4.732719,16.445,0,0,0,16.2192,0,0,0,8.1842,2.275,0,6.426,0,0,0,11.4742,0,0,0,11.8191,0,1.5299,0
2_AE1712_C3_N8_14_200m_c_NODE_1616_length_10512_cov_7.541543,9.9454,7.2007,0,0,11.6176,3.5384,0,0,9.1636,0,0,6.7106,2.4086,0,0,7.9778,4.537,0,0,16.9228,0,0,0
3_AE1712_C6_N1_7_80m_c_NODE_2_length_123396_cov_65.597734,0,0,33.7796,36.2904,0,0,0,0,0,50.053,0,0,0,21.7095,7.8343,0,0,0,0,0,0,11.5217,0
3_AE1712_C6_N1_7_80m_c_NODE_19_length_41768_cov_15.297978,0,0,0,0,0,0,3.2335,0,0,20.2027,0,0,0,0,0,0,0,0,0,0,0,15.5218,0
3_AE1712_C6_N1_7_80m_c_NODE_25_length_36430_cov_13.631062,0,0,0,0,0,0,3.302,0,0,21.4571,0,0,0,0,0,0,0,0,0,0,0,3.9452,0
3_AE1712_C6_N1_7_80m_c_NODE_99_length_21711_cov_24.897476,3.3539,0,18.2967,0,4.7563,0,8.9926,0,0,38.7966,0,1.7095,0,9.7941,0,4.6973,0,0,0,0,0,30.7034,0
3_AE1712_C6_N1_7_80m_c_NODE_122_length_20198_cov_15.335620,0,0,0,0,0,0,4.271,0,0,24.6906,0,0,0,0,0,0,0,0,0,0,0,10.3886,0
3_AE1712_C6_N1_7_80m_c_NODE_136_length_19267_cov_17.309849,0,0,0,0,0,0,5.0399,0,0,22.5542,0,0,0,0,0,0,0,0,0,0,0,19.7098,0
3_AE1712_C6_N1_7_80m_c_NODE_180_length_16944_cov_17.099247,0,0,0,0,0,0,5.4573,0,0,28.3733,0,0,0,0,0,0,0,0,0,0,0,11.9561,0
3_AE1712_C6_N1_7_80m_c_NODE_187_length_16767_cov_35.896645,0,0,0,26.1979,0,0,20.2999,77.209,0,39.335,32.3518,0,0,5.6116,63.0426,0,0,0,8.2549,0,0,7.8804,20.0909
3_AE1712_C6_N1_7_80m_c_NODE_237_length_15031_cov_8.880634,0,0,0,0,0,0,0,0,0,9.543,0,0,0,0,0,0,0,0,0,0,0,10.0122,0
3_AE1712_C6_N1_7_80m_c_NODE_269_length_14152_cov_34.314956,0,0,0,0,0,0,8.5003,0,0,51.5058,0,0,0,2.298,0,0,0,3.378,0,0,0,82.7547,0
3_AE1712_C6_N1_7_80m_c_NODE_320_length_13165_cov_17.017726,0,0,0,0,0,0,5.8674,0,0,27.5925,0,0,0,0,0,0,0,0,0,0,0,10.9558,0
3_AE1712_C6_N1_7_80m_c_NODE_326_length_12952_cov_7.795495,0,4.5075,0,5.3053,0,0,4.5431,11.1293,0,12.7379,5.7949,0,0,2.5526,5.2155,0,1.878,0,0,0,0,6.1356,2.0492
3_AE1712_C6_N1_7_80m_c_NODE_338_length_12710_cov_18.722869,0,0,0,0,0,0,2.8846,0,0,21.276,0,0,0,0,0,0,0,0,0,0,0,16.9133,0
3_AE1712_C6_N1_7_80m_c_NODE_381_length_11960_cov_7.038122,0,0,0,0,0,0,5.3294,0,0,11.0496,0,0,0,4.8688,0,0,0,0,0,0,0,0,0
3_AE1712_C6_N1_7_80m_c_NODE_396_length_11764_cov_13.912724,0,0,0,2.7547,0,0,3.413,22.2226,0,13.2513,4.0233,0,0,0,4.9527,0,0,0,0,0,0,3.4482,4.302
3_AE1712_C6_N1_7_80m_c_NODE_401_length_11720_cov_32.667783,0,0,0,0,0,0,4.0527,0,0,48.3498,0,0,0,0,0,0,0,0,0,0,0,67.7542,0
3_AE1712_C6_N1_7_80m_c_NODE_406_length_11684_cov_7.217197,0,0,0,0,2.8191,0,1.9239,0,0,11.326,0,0,0,0,0,1.7115,0,0,0,3.1128,0,4.3445,0
3_AE1712_C6_N1_7_80m_c_NODE_430_length_11386_cov_36.935980,2.2504,0,3.6808,0,5.1947,0,32.5516,1.9642,0,54.4441,0,1.7496,0,12.8527,0,1.673,0,0,0,4.197,0,38.5797,0
3_AE1712_C6_N1_7_80m_c_NODE_436_length_11333_cov_7.349680,0,0,0,0,0,0,0,0,0,11.8114,0,0,0,0,0,0,0,0,0,0,0,2.6012,0
3_AE1712_C6_N1_7_80m_c_NODE_444_length_11259_cov_7.275532,0,0,0,0,0,0,4.5316,0,0,11.8979,0,0,0,2.9516,0,0,0,0,0,0,0,5.6044,0
3_AE1712_C6_N1_7_80m_c_NODE_497_length_10635_cov_9.454158,0,0,0,0,0,0,2.1681,0,0,14.1726,0,0,0,0,0,0,0,0,2.3939,0,0,13.442,0
3_AE1712_C6_N1_7_80m_c_NODE_500_length_10594_cov_7.508320,2.1282,0,0,0,0,0,0,0,0,12.3659,0,0,0,0,0,0,0,0,0,2.5499,0,3.5793,0
3_AE1712_C6_N1_7_80m_c_NODE_502_length_10556_cov_11.285142,0,0,0,0,0,0,2.3913,0,0,16.9378,0,0,0,0,0,0,0,0,2.6083,0,0,19.5945,0
3_AE1712_C6_N1_7_80m_c_NODE_507_length_10512_cov_10.549209,0,0,0,0,0,0,0,0,0,15.8954,0,0,0,0,0,0,0,0,0,0,0,17.2988,0
3_AE1712_C6_N1_7_80m_c_NODE_521_length_10339_cov_7.326447,0,0,0,0,0,0,0,0,0,11.4113,0,0,0,0,0,0,0,0,0,0,0,10.3693,0
3_AE1712_C6_N1_7_80m_c_NODE_530_length_10267_cov_8.749362,0,0,0,0,0,0,0,0,0,14.3419,0,0,0,0,0,0,0,0,0,0,0,2.89,0
3_AE1712_C6_N1_7_80m_c_NODE_1552_length_6041_cov_19.246814,0,0,0,0,0,0,1.9228,0,0,29.5181,0,0,0,0,0,0,0,0,0,0,0,7.2698,0
3_AE1712_C6_N1_7_80m_c_NODE_18754_length_1952_cov_2.841067,0,0,0,0,0,1.8976,0,4.5967,0,5.1613,4.8323,0,0,0,0,0,0,0,6.219,0,0,0,3.4545
5_AE1712_C8_N7_12_80m_c_NODE_27_length_13982_cov_8.628623,2.6699,0,3.3685,0,4.6967,0,37.3698,0,2.0589,61.2281,0,2.8425,0,12.9983,0,2.4737,0,2.4448,0,3.6266,0,45.3596,0
6_AE1712_C8_N19_24_200m_c_NODE_78_length_39671_cov_16.116609,12.948,448.8937,0,66.7894,20.4,118.7701,0,54.0566,18.2788,3.0406,65.1246,14.7963,606.7525,0,72.5903,14.6238,1205.1884,0,24.8621,19.6377,608.7343,2.2854,45.6852
6_AE1712_C8_N19_24_200m_c_NODE_167_length_26786_cov_10.060616,5.3347,50.6962,0,2.2239,6.271,26.4826,0,1.9423,3.319,0,0,2.8488,8.2981,0,0,5.77,40.5607,0,0,5.2453,8.4249,0,0
6_AE1712_C8_N19_24_200m_c_NODE_173_length_26315_cov_12.176462,11.8732,0,0,0,40.9322,0,0,0,29.8293,0,0,22.9513,0,0,0,20.9471,0,0,0,27.247,0,0,0
6_AE1712_C8_N19_24_200m_c_NODE_232_length_22590_cov_41.400657,11.5677,0,0,0,77.6486,0,0,0,47.0952,0,0,43.3712,0,0,0,43.2957,0,0,0,67.8423,0,0,0
6_AE1712_C8_N19_24_200m_c_NODE_239_length_21911_cov_9.758679,8.955,90.8065,0,5.5246,10.512,47.8143,0,4.4498,6.5076,0,1.7775,5.1972,14.5331,0,2.5963,9.6687,70.1935,0,0,8.0036,15.6866,0,1.8567
6_AE1712_C8_N19_24_200m_c_NODE_280_length_19926_cov_8.511109,30.1679,0,0,0,10.2396,0,0,0,6.8832,0,0,4.747,0,0,0,12.9231,0,0,0,8.5945,0,0,0
6_AE1712_C8_N19_24_200m_c_NODE_288_length_19177_cov_11.306754,16.2719,0,0,0,13.6922,0,0,0,8.2337,9.0549,0,6.4338,0,0,0,18.4707,0,0,0,13.6021,0,3.8816,0
6_AE1712_C8_N19_24_200m_c_NODE_337_length_17577_cov_10.005886,14.897,0,0,0,11.9108,0,0,0,7.2544,8.7174,0,5.9954,0,0,0,15.5214,0,0,0,10.2652,0,3.8665,0
6_AE1712_C8_N19_24_200m_c_NODE_412_length_15329_cov_6.633687,7.4076,0,0,0,12.8166,0,0,0,11.6527,0,0,10.8943,0,0,0,10.5102,0,0,0,14.224,0,0,0
6_AE1712_C8_N19_24_200m_c_NODE_571_length_12589_cov_6.160246,9.8522,0,0,0,13.1815,0,0,0,6.3328,0,0,3.8522,0,0,0,9.7828,0,0,0,6.6843,0,0,0
6_AE1712_C8_N19_24_200m_c_NODE_612_length_12089_cov_5.194139,4.5617,0,0,0,14.1399,0,0,0,13.2963,0,0,10.6556,0,0,0,8.064,0,0,0,11.9179,0,0,0
6_AE1712_C8_N19_24_200m_c_NODE_730_length_10995_cov_26.618978,18.8404,210.5694,0,0,26.5909,84.5959,0,0,23.1644,0,0,19.6678,72.0181,0,0,27.0177,163.0048,0,0,34.2277,77.5827,0,0
6_AE1712_C8_N19_24_200m_c_NODE_819_length_10335_cov_8.289628,11.1367,0,0,0,10.1546,0,0,0,9.0855,7.8053,0,5.8205,0,0,0,13.0247,0,0,0,10.9496,0,3.1523,0
